,Unnamed: 0,cell_name,cell_id,roi_result_id,storage_dir,tau,upstroke_downstroke_ratio_short_square,peak_v_short_square,upstroke_downstroke_ratio_ramp,threshold_v_ramp,sag,threshold_t_ramp,vrest,trough_t_ramp,trough_v_long_square,threshold_t_short_square,peak_t_ramp,fast_trough_v_ramp,trough_t_long_square,trough_t_short_square,threshold_v_long_square,fast_trough_t_long_square,ri,threshold_t_long_square,threshold_v_short_square,avg_isi,vm_for_sag,threshold_i_long_square,threshold_i_short_square,peak_v_ramp,fast_trough_v_short_square,fast_trough_t_short_square,fast_trough_t_ramp,threshold_i_ramp,peak_t_short_square,trough_v_short_square,f_i_curve_slope,peak_t_long_square,latency,fast_trough_v_long_square,upstroke_downstroke_ratio_long_square,trough_v_ramp,peak_v_long_square,adaptation,has_delay,has_pause,has_burst,slice,cell_name_label,spec_id_label_x,collection_label_x,postPatch_label_x,rigOperator_label_x,patchseq_roi_label_x,roi_label_x,endPipetteR_label,rna_amplification_pass_fail_label_x,go_no_go_63x_label_x,image_series_63x_qc_label_x,cell_specimen_project_label_x,DIV,Virus,percent_reads_aligned_total_label_x,percent_reads_aligned_to_exons_label_x,genes_label_x,MALAT1_cpm_label_x,cluster_label,res_index_label_x,h_score_label_x,res_index_pctile_label_x,topLeafValue_label_y,last_map_label_x,ref_version_label_x,mapping_version_label_x,sample_id_x,marker_genes_x,topLeaf_label_x,quality_score_label_x,marker_sum_norm_label_x,Norm_Marker_Sum.0.4_label_x,contaminationType_label_x,seurat_cluster_label,broad_class_label_x,subclass_label,Tree_first_cl_label_x,Tree_second_cl_label_x,Tree_third_cl_label_x,Tree_first_KL_label_x,Tree_second_KL_label_x,Tree_third_KL_label_x,Tree_first_cor_label_x,Tree_second_cor_label_x,Tree_third_cor_label_x,Tree_call_label_x
0,0,H17.03.010.11.14.01,601916922,601916346,/allen/programs/celltypes/production/humancelltypes/prod182/Ephys_Roi_Result_601916346/,20.03319625,4.642610127,-27.65625191,5.294998856,-38.75,0.193625435,1.4236,-63.45338821,1.44428,-57.15625381,1.0328,1.4244,-44.125,1.14086,2.00228,-43.90625381,1.13706,553.5156131,1.13298,-38.40625381,22.95,-101.4687576,5,280,-27.34375191,-47.09375381,1.03986,1.42952,10.125,1.03344,-62.93750381,0.786734702,1.13358,0.0138,-55.71875381,3.130564945,-47.18750381,4.968750477,0.007284744,FALSE,FALSE,FALSE,H17.03.010.11.14,H17.03.010.11.14.01,601916922,Patch-seq Pre-production,Nucleated,,temporal,temp_Loral,,Pass,ZZ_Missing,ZZ_Missing,hIVSCC-MET,,,87.41044694,39.43107446,7816,34327.86401,VIP+ (all),0.506810247,0.506810247,50,0.56,VIP+ (all),20180628_human_MTG_t69_bp0,20180927_n4841_conf70_marker1,P8S4_170711_351_A01,"VIP+ (all):VIP THSD7A PLXNA4 CDH10 STARD13 ARPP21 CHRNA2 ADRA1B CHST15 CALB2 GNG2 PROX1 TAC3 PDE3A LHFP GPR149 LOC102723409 UNC5A ASIC4 PTHLH SMOC1 INHBA-AS1 ARHGAP28 NR2F2 FAT4 SHISA8,ADARB2:NFIB CXCL14 KCNT2 PROX1 ARPP21 MAPK4 EGFR SORCS3 NFIX CALB2 NR2F2-AS1 VIP PKP2 CHRNA2 NR2F2 PDGFD PROX1-AS1 RERG TRIM36 NECAB2 ASIC4 PDE3A CRH LRRC3B NR2E1 NR2F1 INHBA-AS1 ADRA1B COL21A1 FXYD7,Inhibitory:GAD1 SLC6A1 GAD2 DLX6-AS1 GRIP2 BTBD11 LOC105375415 SLC24A3 DLX1 CXCL14 DOCK10 EGFR IGF1 ECE2 PROX1 ZNF608 NR2F2 ADRA1A ANKRD55 KCNIP1 SYTL5 NR2F2-AS1 ATP1B2,FAIL:",Inh L1-3 VIP ADAMTSL1,0.493792281,1.096006554,TRUE,Astrocyte,Inh L1-3 VIP ADAMTSL1,GABAergic neuron,VIP,Inh L1-3 VIP ADAMTSL1,Inh L1-3 VIP GGH,Inh L2-5 VIP SERPINF1,2.199490879,6.204344536,2.891356681,0.693844989,0.603048712,0.595677808,PoorQ
1,1,H17.03.008.11.06.10,595597625,595597605,/allen/programs/celltypes/production/humancelltypes/prod181/Ephys_Roi_Result_595597605/,45.41364967,3.272026877,35.53125381,3.471039629,-41.8125,0.069458276,1.4224,-68.57222748,1.44054,-62.00000381,1.02936,1.42282,-56.15625,1.31158,1.46142,-42.93750381,1.29272,377.47401,1.29014,-41.65625381,55.25529412,-99.12500763,10,220,39.37500381,-55.09375381,1.0317,1.42548,10,1.02976,-66.5625,0.423619846,1.29056,0.01842,-55.50000381,3.459729469,-61.06250381,36.90625381,0.042271625,FALSE,FALSE,FALSE,H17.03.008.11.06,H17.03.008.11.06.10,595597625,Patch-seq Pre-production,Partial-Nucleus,,Right temporal,Right temp_Loral,,Pass,ZZ_Missing,ZZ_Missing,hIVSCC-MET,,,65.57427353,50.81929233,4212,101452.7546,Inhibitory,0.25471765,0.25471765,35,0.63,Inhibitory,20180628_human_MTG_t69_bp0,20180927_n4841_conf70_marker1,P2S4_170613_063_A01,"Inhibitory:GAD1 SLC6A1 GAD2 MAF GRIP2 BTBD11 NXPH1 CXCL14 DOCK10 ZNF608 TOX3 ANKRD55 PREX2 WIF1 NR2F2-AS1 ATP1B2 LYPD6B,FAIL:",Inh L1-2 PAX6 CDH12,0.293359901,0.490259343,TRUE,Endothelial,Inh L1-2 PAX6 CDH12,GABAergic neuron,LAMP5/PAX6/Other,Inh L1-2 PAX6 CDH12,Inh L1-2 PAX6 TNFAIP8L3,Inh L1-2 SST BAGE2 (ADARB2+),1.710670711,12.66837644,7.586313288,0.405347352,0.385986248,0.342666807,PoorQ
2,2,H17.03.006.11.09.04,591326904,591326867,/allen/programs/celltypes/production/humancelltypes/prod9/Ephys_Roi_Result_591326867/,12.17798888,1.699295786,28.40625191,1.62583378,-24.75000191,0.162551746,4.2979,-58.605896,4.2995,-45.50000381,1.05132,4.29826,-43.3125,1.08208,1.16376,-33.4375,1.08206,154.2067379,1.08068,-31.5,128.2285714,-79.71875,50,460,16.71875,-46.28125381,1.05252,4.29948,81.875,1.05164,-63.06250381,0.436660269,1.08102,0.02824,-45.40625381,1.783092138,-43.375,13.21875,0.3007296,FALSE,FALSE,FALSE,H17.03.006.11.09,H17.03.006.11.09.04,591326904,Patch-seq Pre-production,Nucleated,,Left temporal,Left temp_Loral,,Pass,63x no go,ZZ_Missing,hIVSCC-MET,,,91.07592726,37.56501202,8347,29301.07599,PVALB|a,0.817109682,0.817109682,65,0.53,PVALB|a,20180628_human_MTG_t69_bp0,20180927_n4841_conf70_marker1,P2S4_170523_066_A01,"PVALB|a:SULF1 AJAP1 SFMBT2 KIRREL3 MYO1B CRTAC1 OPRD1 BAIAP3 EPHA3 FRMPD1 TOX2 EOGT CACNA1G,PVALB (all)|b:NDST3 ADAMTS9-AS2 SFMBT2 SLITRK2 SULF1 THSD7A IL1RAP SYTL5 SEMA6D CCDC85A PVALB ANO1 PHLDB2,PVALB (all)|a:PLCXD3 CPED1 VWC2L COL12A1 LYPD6B GUCY1A3 GOLIM4 VWC2 WNT16 TRPC5 SULF1 IL1RAP TAC1 FBLN7 NDST3 BARD1 GABRD IGSF21 PARM1,LHX6|c:ZEB2 ZMAT4 KCNJ6 GABRB2 EDIL3 ARID5B TLE2 PTPRO SFMBT2 FNBP1L PLOD2 TRHDE-AS1 MITF SLC26A4 CRTAC1 GOLIM4 OPRD1 WNT16 CPED1,LHX6|b:GRIK3 SATB1 ZMAT4 MYO5B GAD2 EPHB6 LPPR1 GRM1 N4BP2L1 GABRA2 PAWR SLIT1 LOC105374122 GRIK1-AS2 SNCA,LHX6|a:SOX6 GRIK3 LHX6 SPARCL1 SATB1 NXPH1 PAWR EPHB6 TAC1 LOC101929680 MYO5B LOC100289279 PVALB OPRD1 RUNX2 CPED1 PAPPA GAP43 LOC101927121 MPPED1,Inhibitory:GAD1 SLC6A1 GAD2 DLX6-AS1 MAF GRIP2 BTBD11 NXPH1 SLC24A3 ANK1 DOCK10 SOX6 ARX LHX6 ECE2 TOX3 PAWR SYTL5 ATP1B2 LYPD6B,FAIL:",Inh L5-6 SST MIR548F2,0.251450313,0.627216089,TRUE,Microglia,Inh L2-4 PVALB WFDC2,GABAergic neuron,PVALB,Inh L5-6 SST MIR548F2,Inh L2-4 PVALB WFDC2,Inh L4-5 PVALB MEPE,2.551547841,0.916728322,7.326435998,0.654324192,0.703349767,0.662608646,PoorQ
3,3,H17.03.006.11.09.06,591342863,591342850,/allen/programs/celltypes/production/humancelltypes/prod9/Ephys_Roi_Result_591342850/,17.29489864,1.903141339,32,1.679495075,-35.78125381,0.10582982,1.80878,-56.09276199,1.81096,-59.34375,1.02306,1.80934,-58.15625,1.04646,1.04072,-40.03125,1.04602,370.9559441,1.04386,-43.59375381,14.41970588,-99.71875763,29.99999809,140,28.93750191,-62.25000381,1.02486,1.81078,20,1.02352,-64.03125,0.744212957,1.04428,0.00596,-59.00000381,1.981541879,-58.46875,15.34375095,0.001705419,FALSE,FALSE,FALSE,H17.03.006.11.09,H17.03.006.11.09.06,591342863,Patch-seq Pre-production,No-Seal,,Left temporal,Left temp_Loral,,Pass,63x no go,ZZ_Missing,hIVSCC-MET,,,87.60818677,66.3857614,4784,32492.69546,Inhibitory,0.25471765,0.25471765,35,0.45,Inhibitory,20180628_human_MTG_t69_bp0,20180927_n4841_conf70_marker1,P2S4_170523_068_A01,"Inhibitory:GAD1 SLC6A1 GAD2 MAF GRIP2 BTBD11 NXPH1 ANK1 DOCK10 SOX6 ARX LHX6 ECE2 ATP1B2,FAIL:",Inh L5-6 SST MIR548F2,0.188134283,0.563445733,TRUE,Microglia,Inh L2-4 PVALB WFDC2,GABAergic neuron,PVALB,Inh L5-6 SST MIR548F2,Inh L2-4 SST FRZB,Inh L1-3 PAX6 SYT6 (Sncg),4.381357011,5.344451696,11.50921757,0.354885221,0.376914441,0.27568173,PoorQ
4,4,H18.03.317.13.05.01.02,758978303,758978200,/allen/programs/celltypes/production/humancelltypes/prod0/Ephys_Roi_Result_758978200/,20.18213695,2.000131636,31.83124924,0.923665436,-23.34791756,0.072242394,11.99765333,-63.29287386,12.00106,-55.63124847,0.50304,11.99852667,-44.67499924,0.8184,0.53738,-27.88125229,0.81808,217.6561207,0.81554,-38.78125,30.384,-79.40000153,140,440,1.424999833,-58.83125305,0.5054,12.00089333,287.5,0.50356,-63.79375458,0.19694501,0.81618,0.01978,-55.4375,1.215492594,-44.71458054,18.10000038,-0.003996982,,,,H18.03.317.13.05.01,H18.03.317.13.05.01.02,758978303,Patch-seq Production,nucleus_present,dijonh,TCx2,TCx_L2,1800,Pass,63x go,image_qc_passed,hIVSCC-MET,,,89.74287169,41.26839619,8144,53601.87227,LHX6|c,0.504462525,0.504462525,49,0.72,LHX6|c,20180628_human_MTG_t69_bp0,20180927_n4841_conf70_marker1,PBS4_180926_507_A01,"LHX6|c:ZEB2 ZMAT4 KCNJ6 STXBP6 GABRB2 EDIL3 ARID5B TLE2 WLS SFMBT2 FNBP1L UST PLOD2 PNOC WIF1 SLC26A4 CRTAC1 GOLIM4 OPRD1,LHX6|b:GRIK3 SATB1 ZMAT4 MYO5B GAD2 SATB1-AS1 EPHB6 GABRA4 SYNPR RPH3A LPPR1 PDE1A GNG2 ASXL3 N4BP2L1 GABRA2 SLIT1 LOC105374122,LHX6|a:SOX6 GRIK3 LHX6 SPARCL1 SATB1-AS1 SATB1 NXPH1 STXBP6 EPHB6 TAC1 LOC101929680 MYO5B ANKRD34C-AS1 ST8SIA4 OPRD1 CRHBP WIF1 MPPED2 GAP43 LOC101927121 MPPED1 WLS,Inhibitory:GAD1 SLC6A1 GAD2 DLX6-AS1 MAF GRIP2 BTBD11 NXPH1 SLC24A3 CXCL14 ANK1 SOX6 ARX IGF1 PNOC LHX6 ECE2 TOX3 ADRA1A ANKRD55 PREX2 WIF1 KCNIP1 SYTL5 ATP1B2,FAIL:",Inh L2-4 PVALB WFDC2,0.358898817,0.831594366,TRUE,Astrocyte,Inh L2-4 PVALB WFDC2,GABAergic neuron,PVALB,Inh L2-4 PVALB WFDC2,Inh L2-4 SST FRZB,Inh L1-2 PAX6 CDH12,0.403827786,1.165823525,15.50712375,0.699759735,0.645943727,0.44069483,I1
5,5,H18.03.317.14.04.02,760677048,760676996,/allen/programs/celltypes/production/humancelltypes/prod20/Ephys_Roi_Result_760676996/,28.33325939,1.897354695,32.3979187,1.913813857,-29.8979187,0.071479104,2.195893333,-65.55933952,2.202273333,-64.75624847,0.503333333,2.19634,-63.08958435,1.06504,0.51884,-29.88125229,1.06312,238.5936677,1.0602,-32.09791565,99.2675,-87.57500458,40,710,33.33333588,-66.37917328,0.506586667,2.198993333,42.45833206,0.50374,-69.50624847,0.169999997,1.06066,0.1962,-62.93124771,1.926632354,-64.8666687,35.38750076,-0.00330139,,,,H18.03.317.14.04,H18.03.317.14.04.02,760677048,Patch-seq Production,nucleus_present,lindsayn,TCx5,TCx_L5,3000,Pass,63x go,image_qc_passed,hIVSCC-METc,9,CN1390,92.32989158,40.56557932,15412,45885.96841,PVALB (all)|a,0.694858073,0.694858073,57,0.72,PVALB (all)|a,20180628_human_MTG_t69_bp0,20180927_n4841_conf70_marker1,PXS4_181004_352_A01,"PVALB (all)|a:PLCXD3 PLCE1 CPED1 VWC2L COL12A1 LYPD6B GUCY1A3 VAV3 GOLIM4 PDGFC VWC2 WNT16 LYPD6 TRPC5 SULF1 IL1RAP ANKRD29 C8orf4 HSPB3 HHATL FBLN7 GPR149 NDST3 ST6GAL2 HGF DACH1 SCRG1 GABRD IGSF21 WIF1 CDCA7 NWD2 HTR7 ACADL LINC00403 TCTEX1D1 PARM1 LGI2,LHX6|c:ZEB2 ZMAT4 KCNJ6 STXBP6 GABRB2 EDIL3 ARID5B TLE2 WLS RSPO2 PTPRO SFMBT2 DCN FNBP1L UST PLOD2 TRHDE-AS1 MITF PNOC ITGA1 BLM WIF1 SLC26A4 CRTAC1 GOLIM4 OPRD1 WNT16 CPED1,LHX6|b:GRIK3 SATB1 ZMAT4 MYO5B GAD2 SATB1-AS1 EPHB6 GABRA4 SYNPR FLT3 RPH3A LPPR1 RSPO2 PDE1A GRM1 GNG2 TRB ASXL3 GABRA2 PAWR MIR137HG SLIT1 LOC105374122 SNCA,LHX6|a:SOX6 GRIK3 LHX6 SPARCL1 SATB1-AS1 SATB1 NXPH1 STXBP6 FLT3 RSPO2 PAWR EPHB6 LOC101929680 MYO5B ANKRD34C-AS1 ST8SIA4 LOC100289279 PVALB OPRD1 CRHBP RUNX2 CPED1 RAB3B WIF1 PAPPA MPPED2 GAP43 LOC101927121 MPPED1 WLS CRYBG3 DCN,Inhibitory:GAD1 SLC6A1 GAD2 DLX6-AS1 MAF GRIP2 BTBD11 NXPH1 SLC24A3 ANK1 DOCK10 SOX6 ARX EGFR IGF1 PNOC LHX6 ECE2 ZNF608 ADRA1A ANKRD55 PREX2 PAWR WIF1 KCNIP1 SYTL5 NR2F2-AS1 LYPD6B SPHKAP,FAIL:",Inh L5-6 SST MIR548F2,0.52455872,1.097274783,TRUE,Endothelial,Inh L5-6 SST NPM1P10,GABAergic neuron,PVALB,Inh L5-6 SST MIR548F2,Inh L5-6 GAD1 GLP1R (LHX6+),Inh L4-6 PVALB SULF1,1.280697344,2.412067829,3.137378611,0.669841793,0.633771824,0.605000254,I1
6,6,H18.03.319.11.14.01.03,770432825,770432788,/allen/programs/celltypes/production/humancelltypes/prod126/Ephys_Roi_Result_770432788/,11.87572036,2.11724716,19.30624962,1.927445245,-30.11458397,0.132414863,4.71096,-63.9294858,4.71626,-59.95625305,0.50328,4.711373333,-58.5062561,0.57902,0.51764,-29.93750191,0.57724,170.3126878,0.57418,-39.56875229,37.59307692,-76.9437561,100,410,15.73333454,-64.04375458,0.5067,4.7141,105.375,0.50364,-67.06874847,0.484999977,0.57458,0.01734,-58.85625076,1.936639836,-59.93333435,17.17499924,0.006282803,,,,H18.03.319.11.14.01,H18.03.319.11.14.01.03,770432825,Patch-seq Production,nucleus_present,rustym,TCx3b,TCx_L3b,3000,Pass,63x no go,ZZ_Missing,hIVSCC-MET,,,92.31921047,22.14430946,12447,12168.34664,LHX6|c,0.504462525,0.504462525,49,0.58,LHX6|c,20180628_human_MTG_t69_bp0,20180927_n4841_conf70_marker1,P2S4_181030_053_A01,"LHX6|c:ZEB2 ZMAT4 KCNJ6 STXBP6 GABRB2 EDIL3 ARID5B TLE2 WLS RSPO2 SFMBT2 FNBP1L UST PLOD2 MITF PNOC WIF1 SLC26A4 CRTAC1 GOLIM4 OPRD1,LHX6|b:GRIK3 SATB1 ZMAT4 MYO5B GAD2 SATB1-AS1 EPHB6 GABRA4 SYNPR FLT3 RPH3A LPPR1 RSPO2 PDE1A GRM1 GNG2 TRB ASXL3 N4BP2L1 GABRA2 SLIT1 LOC105374122,LHX6|a:SOX6 GRIK3 LHX6 SPARCL1 SATB1-AS1 SATB1 NXPH1 STXBP6 FLT3 RSPO2 EPHB6 TAC1 MYO5B ANKRD34C-AS1 ST8SIA4 OPRD1 CRHBP RUNX2 RAB3B WIF1 PAPPA BCL11A GAP43 LOC101927121 MPPED1 WLS CRYBG3,Inhibitory:GAD1 SLC6A1 GAD2 MAF GRIP2 BTBD11 NXPH1 SLC24A3 DLX1 ANK1 SOX6 ARX IGF1 PNOC LHX6 ECE2 ZNF608 TOX3 ADRA1A WIF1 KCNIP1 SYTL5 ATP1B2 LYPD6B,FAIL:",Inh L2-4 PVALB WFDC2,0.524945528,0.928088946,TRUE,Endothelial,Inh L2-4 PVALB WFDC2,GABAergic neuron,PVALB,Inh L2-4 PVALB WFDC2,Inh L2-4 SST FRZB,Inh L4-5 PVALB MEPE,0.57177593,0.821589851,7.947111087,0.746904484,0.713932382,0.703019748,I2
7,7,H17.03.002.11.09.08,569871062,569870997,/allen/programs/celltypes/production/humancelltypes/prod136/Ephys_Roi_Result_569870997/,15.00035058,3.629343922,38.31250381,3.581990778,-39.03125381,0.145564482,1.42788,-61.98603058,1.44054,-55.96875381,1.02308,1.4284,-53.31250381,1.11218,1.8506,-38.625,1.10354,342.1878815,1.1004,-37.25,33.87142857,-99.31250763,10,200,41.9375,-53.87500381,1.0266,1.43114,10.25,1.02354,-61.21875381,0.48324742,1.10092,0.01742,-53.28125,3.58475708,-56.53125381,42.56250381,0.008011372,FALSE,FALSE,FALSE,H17.03.002.11.09,H17.03.002.11.09.08,569871062,Patch-seq Pre-production,No-Seal,,Right anterior temporal,Right anterior temp_Loral,,Pass,63x go,ready_for_dendrite_trace,hIVSCC-MET,,,90.54272423,88.00441348,5998,4246.148057,LAMP5/PAX6,0.472209393,0.472209393,44,0.89,LAMP5/PAX6,20180628_human_MTG_t69_bp0,20180927_n4841_conf70_marker1,P1S4_170214_008_A01,"LAMP5/PAX6:NXPH1 LAMP5 TOX2 CPLX3 BCL11B COL4A2 LINC00299 LOC101927870 MPPED1 WLS ID2 SST PMEPA1 GABRD SOX13,ADARB2:CXCL14 PROX1 EGFR SORCS3 NFIX LINC00299 LAMP5 NR2F2 RERG TRIM36 NECAB2 ID2 NR2E1 NR2F1 LINC01314 FXYD7 TPD52L1 LOC101927870,Inhibitory:GAD1 SLC6A1 GAD2 DLX6-AS1 GRIP2 BTBD11 NXPH1 DLX1 CXCL14 ANK1 DOCK10 ARX EGFR PNOC PROX1 TOX3 NR2F2 ADRA1A ANKRD55 PREX2 KCNIP1 SYTL5 ATP1B2,FAIL:",Inh L1 SST NMBR (ADARB2+),0.289512714,0.945215326,TRUE,Microglia,Inh L1 SST NMBR (ADARB2+),GABAergic neuron,LAMP5/PAX6/Other,Inh L1 SST NMBR (ADARB2+),Inh L1-2 LAMP5 DBP,Inh L1-2 PAX6 CDH12,0.214229861,1.657497004,15.73159985,0.46751419,0.439975394,0.38682394,PoorQ
8,8,H18.06.366.15.19.01.01,766790520,766790506,/allen/programs/celltypes/production/humancelltypes/prod122/Ephys_Roi_Result_766790506/,9.451495719,1.709951188,35.19687653,1.403797577,-23.41666603,0.189509168,7.85118,-64.87862301,7.854553333,-56.42500305,0.51383,7.8516,-56.60208511,0.55728,0.66829,-32.00624847,0.55578,107.4996889,0.5538,-30.375,127.595,-72.98749542,110,650,30.20416832,-54.375,0.51574,7.853333333,183.8333282,0.51417,-65.91875458,0.24,0.55418,0.02504,-55.17500305,1.717273131,-57.6708374,33.95000076,0.324166327,,,,H18.06.366.15.19.01,H18.06.366.15.19.01.01,766790520,Patch-seq Production,nucleus_present,jessicat,TCx3b,TCx_L3b,1000,Pass,63x no go,ZZ_Missing,hIVSCC-MET,,,87.8078663,34.18788221,14546,23764.0948,Inh L2-4 PVALB WFDC2,1,0.91,100,0.88,Inh L2-4 PVALB WFDC2,20180628_human_MTG_t69_bp0,20180927_n4841_conf70_marker1,PFS4_181022_707_A01,"Inh L2-4 PVALB WFDC2:KIRREL3 CDH7 TOX2 CUX2 HTR4,PVALB|c:LINC00403 SEMA6D,PVALB|b:CDH11 ADRA1A NWD2 KLF3-AS1 KLF3 L3MBTL4 PTPRO KLF7 RBM20 LOC102723415,PVALB|a:SULF1 AJAP1 SFMBT2 KIRREL3 MYO1B CRTAC1 BCL11A L3MBTL4 ETV5 OPRD1 PNOC BAIAP3 MIR4435-1HG NWD2 CORT FRMPD1 LOC105376898 FAM19A4 TOX2 NOS1 KLF3 LINC00403 BLM CDHR3 ETS1 HS3ST1 EOGT CACNA1G KCNK10,PVALB (all)|b:NDST3 ADAMTS9-AS2 LINC00403 SFMBT2 SLITRK2 SULF1 THSD7A HTR4 RGS5 LOC105373153 KCNS3 IL1RAP FAM19A4 SYTL5 TM6SF1 SEMA6D NDST4 CCDC85A PRDM1 NWD2 ACADL RASGRF2-AS1 PVALB ANO1 PHLDB2 C18orf42 ETS1,PVALB (all)|a:PLCXD3 PLCE1 CPED1 VWC2L COL12A1 LYPD6B GUCY1A3 VAV3 GOLIM4 PDGFC VWC2 LYPD6 TRPC5 SULF1 POSTN IL1RAP ANKRD29 C8orf4 MYBPC1 HHATL TAC1 FBLN7 GPR149 NDST3 TMEM51 ST6GAL2 HGF GABRD HAPLN1 IGSF21 WIF1 NWD2 HTR7 ACADL KCNS3 LINC00403 TCTEX1D1 LOC105369794 PARM1 IDI2-AS1,LHX6|c:ZEB2 ZMAT4 KCNJ6 STXBP6 GABRB2 EDIL3 ARID5B TLE2 WLS RSPO2 PTPRO SFMBT2 DCN FNBP1L UST PLOD2 MITF PNOC ITGA1 BLM WIF1 SLC26A4 CRTAC1 GOLIM4 OPRD1 CPED1,LHX6|b:GRIK3 SATB1 ZMAT4 MYO5B GAD2 SATB1-AS1 EPHB6 GABRA4 SYNPR FLT3 RPH3A LPPR1 RSPO2 GRM1 GNG2 ASXL3 N4BP2L1 GABRA2 PAWR MIR137HG SLIT1 LOC105374122 CORT SNCA,LHX6|a:SOX6 GRIK3 LHX6 SPARCL1 SATB1-AS1 SATB1 NXPH1 STXBP6 FLT3 RSPO2 PAWR EPHB6 TAC1 LOC101929680 MYO5B ANKRD34C-AS1 ST8SIA4 LOC100289279 PVALB OPRD1 CRHBP RUNX2 CPED1 RAB3B WIF1 PAPPA MPPED2 BCL11A GAP43 CORT LOC101927121 MPPED1 WLS CRYBG3 DCN,Inhibitory:GAD1 SLC6A1 GAD2 DLX6-AS1 MAF GRIP2 BTBD11 NXPH1 SLC24A3 DLX1 ANK1 DOCK10 SOX6 ARX EGFR IGF1 PNOC LHX6 ECE2 ZNF608 TOX3 ADRA1A ANKRD55 PAWR WIF1 KCNIP1 SYTL5 ATP1B2 LYPD6B SPHKAP,FAIL:",Inh L2-4 PVALB WFDC2,0.443727356,1.242422302,TRUE,Microglia,Inh L2-4 PVALB WFDC2,GABAergic neuron,PVALB,Inh L2-4 PVALB WFDC2,Inh L4-5 PVALB MEPE,Inh L1-2 PAX6 CDH12,0.162774783,2.968570959,15.81544817,0.737893171,0.72478082,0.463524891,Core
9,9,H18.03.316.12.07.02,759263650,759263587,/allen/programs/celltypes/production/humancelltypes/prod95/Ephys_Roi_Result_759263587/,14.89661374,3.133102272,-2.200000048,1.548733274,-18.81624985,0.134674549,7.548952,-59.4631218,7.551268,-45.79999924,0.501824,7.549412,-44.75250244,0.62,0.771892,-20.29375076,0.6195,110.4018018,0.61748,-39.94499969,73.04833333,-67.69999695,160,920,31.95125198,-43.98250198,0.50882,7.550884,176.3000031,0.503204,-52.95875168,0.305,0.61796,0.03986,-45.54999924,1.561822309,-44.97375488,29.09375191,0.025582483,,,,H18.03.316.12.07,H18.03.316.12.07.02,759263650,Patch-seq Production,nucleus_present,lindsayn,TCx3,TCx_L3,2000,Pass,ZZ_Missing,image_qc_passed,hIVSCC-METc,16,CN1418,92.28738641,32.25013208,11848,38999.92076,Inh L2-4 PVALB WFDC2,1,0.71,100,0.68,PVALB|b,20180628_human_MTG_t69_bp0,20180927_n4841_conf70_marker1,PXS4_180927_352_A01,"Inh L2-4 PVALB WFDC2:KIRREL3 CDH7 TOX2 CUX2 HTR4,PVALB|c:SEMA6D KAL1,PVALB|b:ADRA1A NWD2 KLF3-AS1 KLF3 L3MBTL4 PTPRO CLMN KLF7 KAL1 RBM20,PVALB|a:SULF1 AJAP1 SFMBT2 KIRREL3 MYO1B CRTAC1 BCL11A COBLL1 HTR1E L3MBTL4 ETV5 OPRD1 PNOC MIR4435-1HG NWD2 FRMPD1 LOC105376898 FAM19A4 NMU TOX2 NOS1 KLF3 BLM ETS1 HS3ST1 EOGT CACNA1G,PVALB (all)|b:NDST3 ADAMTS9-AS2 SFMBT2 SULF1 THSD7A HTR4 RGS5 LOC105373153 IL1RAP FAM19A4 SYTL5 TM6SF1 SEMA6D NDST4 CCDC85A NWD2 COBLL1 LOC105376319 PVALB NMU C18orf42 ETS1,PVALB (all)|a:PLCXD3 PLCE1 CPED1 VWC2L COL12A1 LYPD6B VAV3 GOLIM4 PDGFC VWC2 LYPD6 TRPC5 SULF1 IL1RAP C8orf4 HSPB3 HHATL TAC1 FBLN7 GPR149 NDST3 SCRG1 GABRD IGSF21 NWD2 HTR7 PARM1 IDI2-AS1 LGI2 COBLL1 KITLG,LHX6|c:ZEB2 ZMAT4 KCNJ6 STXBP6 GABRB2 EDIL3 ARID5B TLE2 WLS RSPO2 PTPRO SFMBT2 FNBP1L NMU UST PLOD2 MITF PNOC BLM SLC26A4 CRTAC1 GOLIM4 OPRD1 CPED1,LHX6|b:GRIK3 SATB1 ZMAT4 MYO5B GAD2 SATB1-AS1 EPHB6 GABRA4 SYNPR FLT3 RPH3A LPPR1 RSPO2 TRB ASXL3 NMU N4BP2L1 GABRA2 SLIT1 GRIK1-AS2,LHX6|a:SOX6 GRIK3 SPARCL1 SATB1-AS1 SATB1 NXPH1 STXBP6 FLT3 RSPO2 EPHB6 TAC1 LOC101929680 MYO5B ANKRD34C-AS1 ST8SIA4 PVALB OPRD1 CRHBP RUNX2 NMU CPED1 PAPPA BCL11A GAP43 LOC101927121 MPPED1 WLS CRYBG3,Inhibitory:GAD1 SLC6A1 GAD2 DLX6-AS1 MAF GRIP2 BTBD11 NXPH1 SLC24A3 ANK1 SOX6 ARX IGF1 PNOC ECE2 ZNF608 TOX3 ADRA1A ANKRD55 SYTL5 ATP1B2 LYPD6B SPHKAP,FAIL:",Inh L2-4 PVALB WFDC2,0.512774882,0.978992448,TRUE,Endothelial,Inh L2-4 PVALB WFDC2,GABAergic neuron,PVALB,Inh L2-4 PVALB WFDC2,Inh L4-5 PVALB MEPE,Inh L1-2 PAX6 CDH12,0.249123859,1.965025501,15.51583632,0.755007219,0.708396803,0.42868344,I1
